Country code,Year,Absence of Corruption,Civil Liberties,Educational equality,Health equality,Judicial accountability,Public sector corrupt exchanges
ARG,2008,0.51,0.8,0.56,0.62,0.37,0.46
ARG,2009,0.51,0.8,0.56,0.62,0.37,0.46
ARG,2010,0.51,0.8,0.56,0.62,0.37,0.46
ARG,2011,0.51,0.8,0.56,0.62,0.37,0.46
ARG,2012,0.49,0.8,0.56,0.62,0.37,0.46
ARG,2013,0.48,0.79,0.56,0.62,0.31,0.46
ARG,2014,0.48,0.78,0.56,0.62,0.31,0.46
ARG,2015,0.49,0.76,0.56,0.62,0.31,0.43
ARG,2016,0.51,0.76,0.56,0.62,0.4,0.43
ARG,2017,0.51,0.75,0.6,0.62,0.49,0.43
ARG,2018,0.53,0.76,0.6,0.62,0.39,0.43
ARG,2019,0.53,0.76,0.6,0.62,0.39,0.45
ARG,2020,0.54,0.77,0.56,0.62,0.35,0.45
ARG,2021,0.53,0.78,0.56,0.62,0.35,0.45
ARG,2022,0.53,0.78,0.56,0.66,0.35,0.45
BGR,2008,0.53,0.75,0.65,0.68,0.36,0.48
BGR,2009,0.5,0.73,0.65,0.68,0.27,0.44
BGR,2010,0.51,0.74,0.65,0.68,0.21,0.44
BGR,2011,0.51,0.73,0.65,0.68,0.21,0.44
BGR,2012,0.51,0.74,0.65,0.68,0.21,0.44
BGR,2013,0.53,0.72,0.61,0.68,0.25,0.46
BGR,2014,0.54,0.72,0.58,0.68,0.32,0.46
BGR,2015,0.5,0.71,0.58,0.67,0.33,0.42
BGR,2016,0.5,0.71,0.58,0.67,0.28,0.42
BGR,2017,0.49,0.71,0.58,0.67,0.27,0.42
BGR,2018,0.49,0.7,0.58,0.67,0.27,0.42
BGR,2019,0.48,0.7,0.53,0.64,0.27,0.42
BGR,2020,0.48,0.68,0.54,0.64,0.27,0.42
BGR,2021,0.48,0.72,0.54,0.64,0.27,0.42
BGR,2022,0.55,0.71,0.56,0.68,0.35,0.49
BRA,2008,0.51,0.81,0.37,0.5,0.57,0.49
BRA,2009,0.51,0.82,0.37,0.5,0.57,0.49
BRA,2010,0.52,0.82,0.37,0.5,0.57,0.49
BRA,2011,0.52,0.82,0.37,0.5,0.57,0.49
BRA,2012,0.51,0.8,0.37,0.5,0.57,0.49
BRA,2013,0.51,0.79,0.35,0.5,0.56,0.49
BRA,2014,0.51,0.77,0.35,0.5,0.56,0.49
BRA,2015,0.51,0.78,0.35,0.5,0.56,0.49
BRA,2016,0.5,0.73,0.33,0.48,0.51,0.49
BRA,2017,0.5,0.72,0.33,0.46,0.51,0.49
BRA,2018,0.5,0.7,0.33,0.46,0.51,0.49
BRA,2019,0.49,0.67,0.27,0.46,0.51,0.47
BRA,2020,0.49,0.65,0.23,0.38,0.51,0.47
BRA,2021,0.47,0.65,0.23,0.38,0.58,0.47
BRA,2022,0.48,0.65,0.23,0.38,0.58,0.47
CHN,2008,0.43,0.29,0.42,0.37,0.56,0.3
CHN,2009,0.42,0.29,0.42,0.4,0.56,0.3
CHN,2010,0.42,0.3,0.42,0.4,0.56,0.3
CHN,2011,0.42,0.28,0.42,0.4,0.56,0.3
CHN,2012,0.41,0.31,0.42,0.4,0.6,0.31
CHN,2013,0.44,0.29,0.41,0.38,0.6,0.36
CHN,2014,0.45,0.29,0.41,0.38,0.6,0.37
CHN,2015,0.45,0.29,0.41,0.38,0.53,0.37
CHN,2016,0.45,0.28,0.41,0.38,0.53,0.37
CHN,2017,0.45,0.27,0.41,0.38,0.53,0.37
CHN,2018,0.46,0.24,0.41,0.38,0.53,0.37
CHN,2019,0.47,0.23,0.41,0.38,0.53,0.4
CHN,2020,0.48,0.23,0.41,0.36,0.53,0.4
CHN,2021,0.47,0.22,0.42,0.36,0.53,0.4
CHN,2022,0.48,0.2,0.34,0.36,0.5,0.4
COL,2008,0.51,0.59,0.39,0.42,0.59,0.43
COL,2009,0.5,0.6,0.39,0.42,0.59,0.4
COL,2010,0.52,0.61,0.4,0.42,0.57,0.4
COL,2011,0.52,0.64,0.4,0.42,0.57,0.4
COL,2012,0.52,0.62,0.4,0.42,0.57,0.4
COL,2013,0.51,0.63,0.4,0.38,0.55,0.39
COL,2014,0.51,0.64,0.4,0.38,0.55,0.39
COL,2015,0.51,0.64,0.4,0.38,0.55,0.39
COL,2016,0.51,0.64,0.4,0.4,0.56,0.39
COL,2017,0.52,0.63,0.39,0.4,0.57,0.39
COL,2018,0.52,0.63,0.39,0.37,0.59,0.39
COL,2019,0.53,0.61,0.33,0.35,0.59,0.39
COL,2020,0.5,0.59,0.34,0.35,0.59,0.41
COL,2021,0.53,0.58,0.3,0.42,0.62,0.5
COL,2022,0.53,0.62,0.3,0.4,0.62,0.5
CUB,2008,0.32,0.2,0.76,0.79,0.65,0.27
CUB,2009,0.32,0.2,0.76,0.79,0.65,0.27
CUB,2010,0.32,0.2,0.76,0.79,0.65,0.27
CUB,2011,0.32,0.2,0.76,0.79,0.65,0.27
CUB,2012,0.32,0.19,0.76,0.79,0.65,0.27
CUB,2013,0.32,0.22,0.66,0.7,0.65,0.27
CUB,2014,0.32,0.23,0.66,0.7,0.65,0.27
CUB,2015,0.32,0.23,0.66,0.7,0.65,0.27
CUB,2016,0.36,0.24,0.66,0.7,0.65,0.3
CUB,2017,0.33,0.25,0.66,0.7,0.65,0.3
CUB,2018,0.35,0.25,0.66,0.7,0.65,0.3
CUB,2019,0.35,0.26,0.75,0.75,0.65,0.3
CUB,2020,0.35,0.23,0.75,0.75,0.65,0.3
CUB,2021,0.35,0.21,0.75,0.75,0.65,0.3
CUB,2022,0.35,0.2,0.75,0.68,0.65,0.3
DEU,2008,0.97,0.84,0.79,0.88,0.84,0.81
DEU,2009,0.97,0.84,0.79,0.88,0.84,0.81
DEU,2010,0.97,0.84,0.79,0.88,0.84,0.81
DEU,2011,0.97,0.84,0.79,0.88,0.84,0.81
DEU,2012,0.97,0.87,0.79,0.88,0.84,0.81
DEU,2013,0.97,0.87,0.79,0.9,0.93,0.81
DEU,2014,0.97,0.86,0.79,0.83,0.93,0.81
DEU,2015,0.97,0.86,0.79,0.9,0.93,0.81
DEU,2016,0.97,0.87,0.79,0.9,0.93,0.81
DEU,2017,0.97,0.85,0.79,0.9,0.93,0.81
DEU,2018,0.92,0.84,0.79,0.9,0.93,0.81
DEU,2019,0.92,0.84,0.84,0.9,0.93,0.81
DEU,2020,0.92,0.82,0.84,0.72,0.93,0.81
DEU,2021,0.92,0.82,0.84,0.88,0.93,0.81
DEU,2022,0.89,0.83,0.84,0.88,0.93,0.81
DOM,2008,0.34,0.7,0.26,0.33,0.4,0.29
DOM,2009,0.34,0.71,0.26,0.33,0.4,0.29
DOM,2010,0.34,0.7,0.26,0.33,0.4,0.29
DOM,2011,0.34,0.7,0.26,0.33,0.4,0.29
DOM,2012,0.35,0.71,0.29,0.33,0.4,0.29
DOM,2013,0.37,0.7,0.29,0.33,0.4,0.27
DOM,2014,0.36,0.7,0.29,0.33,0.4,0.27
DOM,2015,0.39,0.68,0.3,0.35,0.38,0.33
DOM,2016,0.39,0.69,0.3,0.35,0.43,0.33
DOM,2017,0.36,0.7,0.3,0.35,0.36,0.29
DOM,2018,0.33,0.72,0.3,0.35,0.36,0.23
DOM,2019,0.28,0.71,0.31,0.35,0.36,0.15
DOM,2020,0.43,0.74,0.29,0.37,0.51,0.33
DOM,2021,0.44,0.76,0.29,0.43,0.49,0.36
DOM,2022,0.44,0.76,0.29,0.37,0.49,0.36
DZA,2008,0.38,0.49,0.59,0.61,0.39,0.35
DZA,2009,0.38,0.49,0.59,0.61,0.39,0.35
DZA,2010,0.38,0.49,0.61,0.61,0.39,0.35
DZA,2011,0.38,0.49,0.61,0.61,0.39,0.35
DZA,2012,0.38,0.49,0.63,0.63,0.4,0.35
DZA,2013,0.38,0.49,0.63,0.63,0.4,0.35
DZA,2014,0.38,0.49,0.63,0.64,0.4,0.35
DZA,2015,0.38,0.5,0.63,0.64,0.4,0.35
DZA,2016,0.39,0.47,0.63,0.68,0.4,0.35
DZA,2017,0.39,0.48,0.66,0.66,0.4,0.35
DZA,2018,0.37,0.48,0.66,0.65,0.4,0.34
DZA,2019,0.39,0.47,0.66,0.63,0.4,0.33
DZA,2020,0.39,0.44,0.66,0.61,0.4,0.33
DZA,2021,0.39,0.43,0.66,0.63,0.4,0.33
DZA,2022,0.39,0.43,0.66,0.63,0.4,0.35
ECU,2008,0.44,0.68,0.59,0.53,0.47,0.37
ECU,2009,0.44,0.67,0.61,0.55,0.47,0.37
ECU,2010,0.43,0.65,0.62,0.55,0.47,0.36
ECU,2011,0.42,0.65,0.62,0.55,0.47,0.36
ECU,2012,0.41,0.64,0.62,0.55,0.47,0.35
ECU,2013,0.4,0.61,0.62,0.55,0.51,0.34
ECU,2014,0.4,0.6,0.62,0.55,0.51,0.34
ECU,2015,0.4,0.6,0.62,0.55,0.51,0.34
ECU,2016,0.4,0.57,0.62,0.55,0.37,0.34
ECU,2017,0.46,0.6,0.62,0.55,0.39,0.4
ECU,2018,0.46,0.67,0.6,0.53,0.31,0.41
ECU,2019,0.47,0.64,0.56,0.55,0.36,0.41
ECU,2020,0.47,0.67,0.56,0.5,0.36,0.37
ECU,2021,0.47,0.66,0.49,0.46,0.36,0.34
ECU,2022,0.46,0.68,0.62,0.43,0.43,0.37
FRA,2008,0.77,0.88,0.83,0.96,0.64,0.67
FRA,2009,0.77,0.87,0.83,0.96,0.69,0.67
FRA,2010,0.77,0.86,0.83,0.96,0.69,0.67
FRA,2011,0.76,0.87,0.83,0.96,0.69,0.67
FRA,2012,0.76,0.88,0.83,0.96,0.69,0.67
FRA,2013,0.76,0.88,0.83,0.96,0.69,0.67
FRA,2014,0.76,0.88,0.83,0.96,0.69,0.67
FRA,2015,0.76,0.84,0.83,0.96,0.69,0.67
FRA,2016,0.76,0.83,0.83,0.84,0.69,0.67
FRA,2017,0.76,0.83,0.83,0.84,0.69,0.67
FRA,2018,0.76,0.81,0.76,0.84,0.69,0.67
FRA,2019,0.76,0.8,0.73,0.84,0.69,0.67
FRA,2020,0.76,0.77,0.73,0.78,0.69,0.67
FRA,2021,0.76,0.77,0.73,0.78,0.69,0.67
FRA,2022,0.77,0.78,0.72,0.69,0.69,0.67
GBR,2008,0.81,0.83,0.76,0.88,0.75,0.72
GBR,2009,0.81,0.83,0.76,0.88,0.75,0.72
GBR,2010,0.81,0.83,0.75,0.88,0.75,0.72
GBR,2011,0.81,0.83,0.75,0.88,0.75,0.72
GBR,2012,0.82,0.84,0.73,0.88,0.75,0.72
GBR,2013,0.83,0.83,0.73,0.88,0.82,0.72
GBR,2014,0.83,0.82,0.73,0.88,0.82,0.72
GBR,2015,0.83,0.82,0.73,0.88,0.82,0.72
GBR,2016,0.83,0.82,0.73,0.88,0.82,0.72
GBR,2017,0.85,0.84,0.69,0.88,0.82,0.79
GBR,2018,0.85,0.83,0.69,0.82,0.82,0.79
GBR,2019,0.85,0.81,0.72,0.81,0.82,0.79
GBR,2020,0.81,0.8,0.69,0.79,0.82,0.74
GBR,2021,0.8,0.79,0.74,0.8,0.82,0.74
GBR,2022,0.8,0.81,0.68,0.8,0.82,0.74
HND,2008,0.29,0.67,0.27,0.24,0.3,0.22
HND,2009,0.29,0.59,0.27,0.22,0.29,0.22
HND,2010,0.27,0.64,0.27,0.22,0.26,0.22
HND,2011,0.27,0.63,0.27,0.23,0.26,0.22
HND,2012,0.29,0.61,0.22,0.21,0.26,0.22
HND,2013,0.29,0.62,0.22,0.21,0.28,0.22
HND,2014,0.29,0.6,0.22,0.21,0.28,0.22
HND,2015,0.29,0.59,0.22,0.21,0.28,0.22
HND,2016,0.3,0.58,0.22,0.21,0.28,0.22
HND,2017,0.31,0.57,0.22,0.21,0.24,0.22
HND,2018,0.29,0.57,0.22,0.29,0.24,0.22
HND,2019,0.28,0.57,0.25,0.3,0.24,0.22
HND,2020,0.27,0.55,0.25,0.23,0.24,0.22
HND,2021,0.3,0.61,0.14,0.17,0.24,0.23
HND,2022,0.29,0.64,0.2,0.25,0.24,0.23
ITA,2008,0.62,0.9,0.8,0.85,0.56,0.59
ITA,2009,0.62,0.92,0.8,0.85,0.56,0.59
ITA,2010,0.63,0.92,0.8,0.85,0.56,0.62
ITA,2011,0.66,0.94,0.8,0.85,0.56,0.62
ITA,2012,0.65,0.94,0.8,0.85,0.56,0.62
ITA,2013,0.64,0.88,0.8,0.85,0.55,0.57
ITA,2014,0.63,0.88,0.8,0.85,0.55,0.57
ITA,2015,0.63,0.88,0.8,0.87,0.55,0.57
ITA,2016,0.64,0.92,0.8,0.87,0.55,0.57
ITA,2017,0.66,0.93,0.8,0.87,0.58,0.57
ITA,2018,0.66,0.84,0.8,0.87,0.58,0.57
ITA,2019,0.66,0.84,0.8,0.87,0.58,0.57
ITA,2020,0.66,0.81,0.8,0.87,0.58,0.57
ITA,2021,0.66,0.83,0.8,0.87,0.58,0.57
ITA,2022,0.66,0.82,0.8,0.87,0.58,0.57
MAR,2008,0.38,0.5,0.32,0.43,0.44,0.28
MAR,2009,0.38,0.5,0.33,0.43,0.44,0.28
MAR,2010,0.38,0.5,0.33,0.43,0.44,0.28
MAR,2011,0.42,0.5,0.33,0.43,0.46,0.29
MAR,2012,0.42,0.51,0.33,0.43,0.46,0.29
MAR,2013,0.4,0.51,0.34,0.43,0.47,0.29
MAR,2014,0.4,0.51,0.34,0.43,0.55,0.29
MAR,2015,0.38,0.5,0.35,0.43,0.51,0.29
MAR,2016,0.4,0.5,0.35,0.43,0.51,0.29
MAR,2017,0.4,0.48,0.35,0.43,0.51,0.29
MAR,2018,0.4,0.48,0.35,0.43,0.51,0.29
MAR,2019,0.4,0.48,0.35,0.43,0.51,0.29
MAR,2020,0.4,0.47,0.35,0.43,0.51,0.29
MAR,2021,0.4,0.48,0.35,0.51,0.51,0.29
MAR,2022,0.4,0.48,0.35,0.51,0.51,0.29
NIC,2008,0.29,0.58,0.31,0.37,0.26,0.24
NIC,2009,0.29,0.57,0.31,0.37,0.26,0.24
NIC,2010,0.29,0.56,0.31,0.37,0.26,0.24
NIC,2011,0.29,0.56,0.31,0.37,0.26,0.24
NIC,2012,0.28,0.56,0.31,0.37,0.26,0.24
NIC,2013,0.26,0.56,0.31,0.38,0.28,0.24
NIC,2014,0.26,0.55,0.31,0.38,0.28,0.24
NIC,2015,0.26,0.55,0.31,0.38,0.28,0.24
NIC,2016,0.26,0.53,0.31,0.38,0.28,0.24
NIC,2017,0.25,0.5,0.31,0.34,0.28,0.24
NIC,2018,0.25,0.34,0.31,0.33,0.28,0.24
NIC,2019,0.25,0.34,0.31,0.33,0.28,0.24
NIC,2020,0.18,0.32,0.28,0.31,0.21,0.16
NIC,2021,0.19,0.28,0.26,0.29,0.21,0.21
NIC,2022,0.2,0.26,0.26,0.29,0.27,0.16
PAK,2008,0.27,0.51,0.17,0.28,0.15,0.25
PAK,2009,0.27,0.54,0.17,0.28,0.17,0.25
PAK,2010,0.26,0.55,0.18,0.26,0.17,0.25
PAK,2011,0.26,0.55,0.18,0.26,0.17,0.25
PAK,2012,0.27,0.55,0.18,0.26,0.17,0.25
PAK,2013,0.3,0.53,0.18,0.27,0.21,0.25
PAK,2014,0.35,0.53,0.18,0.27,0.21,0.3
PAK,2015,0.35,0.49,0.18,0.27,0.21,0.3
PAK,2016,0.34,0.48,0.18,0.27,0.21,0.3
PAK,2017,0.31,0.49,0.18,0.24,0.14,0.25
PAK,2018,0.31,0.47,0.18,0.24,0.14,0.26
PAK,2019,0.32,0.47,0.18,0.24,0.24,0.34
PAK,2020,0.33,0.47,0.18,0.28,0.22,0.26
PAK,2021,0.33,0.49,0.18,0.37,0.22,0.26
PAK,2022,0.36,0.48,0.18,0.27,0.22,0.23
PER,2008,0.49,0.72,0.35,0.4,0.44,0.3
PER,2009,0.49,0.7,0.35,0.4,0.44,0.3
PER,2010,0.49,0.7,0.35,0.4,0.44,0.29
PER,2011,0.52,0.71,0.35,0.4,0.44,0.34
PER,2012,0.53,0.71,0.35,0.4,0.44,0.34
PER,2013,0.5,0.71,0.35,0.42,0.47,0.3
PER,2014,0.5,0.71,0.35,0.42,0.47,0.3
PER,2015,0.51,0.7,0.35,0.42,0.47,0.31
PER,2016,0.51,0.7,0.38,0.42,0.47,0.31
PER,2017,0.52,0.73,0.36,0.42,0.5,0.31
PER,2018,0.53,0.74,0.38,0.42,0.54,0.35
PER,2019,0.52,0.74,0.39,0.42,0.54,0.35
PER,2020,0.53,0.73,0.38,0.4,0.65,0.35
PER,2021,0.55,0.71,0.38,0.4,0.66,0.35
PER,2022,0.44,0.68,0.36,0.36,0.66,0.35
PRT,2008,0.73,0.9,0.78,0.85,0.62,0.62
PRT,2009,0.73,0.9,0.78,0.85,0.62,0.62
PRT,2010,0.73,0.9,0.78,0.81,0.62,0.62
PRT,2011,0.73,0.88,0.79,0.81,0.62,0.62
PRT,2012,0.74,0.89,0.79,0.81,0.62,0.62
PRT,2013,0.74,0.89,0.79,0.81,0.66,0.62
PRT,2014,0.74,0.89,0.79,0.81,0.66,0.62
PRT,2015,0.76,0.91,0.79,0.81,0.66,0.67
PRT,2016,0.73,0.92,0.79,0.81,0.66,0.63
PRT,2017,0.75,0.92,0.79,0.79,0.66,0.68
PRT,2018,0.73,0.92,0.79,0.79,0.66,0.63
PRT,2019,0.74,0.89,0.79,0.78,0.66,0.63
PRT,2020,0.67,0.88,0.77,0.79,0.64,0.59
PRT,2021,0.67,0.84,0.7,0.79,0.64,0.59
PRT,2022,0.69,0.82,0.69,0.76,0.68,0.59
PRY,2008,0.39,0.68,0.21,0.37,0.47,0.34
PRY,2009,0.39,0.71,0.21,0.37,0.47,0.34
PRY,2010,0.39,0.73,0.21,0.37,0.47,0.34
PRY,2011,0.39,0.72,0.21,0.37,0.47,0.34
PRY,2012,0.34,0.67,0.21,0.3,0.47,0.29
PRY,2013,0.33,0.66,0.19,0.27,0.47,0.27
PRY,2014,0.34,0.65,0.19,0.27,0.47,0.27
PRY,2015,0.33,0.65,0.19,0.27,0.47,0.26
PRY,2016,0.33,0.66,0.19,0.27,0.47,0.26
PRY,2017,0.33,0.66,0.19,0.27,0.45,0.26
PRY,2018,0.37,0.66,0.19,0.27,0.47,0.26
PRY,2019,0.39,0.66,0.19,0.27,0.47,0.29
PRY,2020,0.38,0.65,0.19,0.28,0.45,0.29
PRY,2021,0.38,0.65,0.19,0.28,0.45,0.29
PRY,2022,0.37,0.66,0.19,0.28,0.45,0.29
ROU,2008,0.43,0.76,0.64,0.69,0.62,0.33
ROU,2009,0.44,0.76,0.64,0.69,0.62,0.35
ROU,2010,0.44,0.78,0.64,0.69,0.71,0.35
ROU,2011,0.44,0.78,0.64,0.69,0.71,0.35
ROU,2012,0.44,0.78,0.64,0.69,0.71,0.35
ROU,2013,0.5,0.78,0.6,0.69,0.72,0.44
ROU,2014,0.52,0.77,0.6,0.64,0.72,0.48
ROU,2015,0.52,0.78,0.6,0.64,0.76,0.48
ROU,2016,0.6,0.78,0.6,0.6,0.72,0.48
ROU,2017,0.51,0.71,0.6,0.52,0.64,0.41
ROU,2018,0.49,0.68,0.53,0.54,0.47,0.41
ROU,2019,0.54,0.71,0.53,0.54,0.53,0.52
ROU,2020,0.54,0.72,0.56,0.46,0.61,0.52
ROU,2021,0.58,0.74,0.56,0.41,0.71,0.52
ROU,2022,0.58,0.72,0.56,0.41,0.58,0.54
RUS,2008,0.34,0.47,0.62,0.65,0.5,0.3
RUS,2009,0.34,0.46,0.62,0.65,0.5,0.3
RUS,2010,0.34,0.46,0.62,0.64,0.5,0.3
RUS,2011,0.34,0.46,0.62,0.64,0.5,0.3
RUS,2012,0.34,0.44,0.62,0.65,0.51,0.3
RUS,2013,0.36,0.43,0.62,0.65,0.52,0.33
RUS,2014,0.36,0.4,0.62,0.65,0.52,0.33
RUS,2015,0.36,0.39,0.62,0.65,0.52,0.33
RUS,2016,0.36,0.39,0.63,0.65,0.51,0.33
RUS,2017,0.36,0.39,0.63,0.65,0.53,0.33
RUS,2018,0.36,0.39,0.63,0.65,0.52,0.33
RUS,2019,0.36,0.38,0.63,0.61,0.52,0.33
RUS,2020,0.36,0.37,0.63,0.64,0.52,0.33
RUS,2021,0.36,0.36,0.58,0.58,0.54,0.33
RUS,2022,0.32,0.31,0.51,0.56,0.55,0.33
SEN,2008,0.53,0.68,0.49,0.47,0.57,0.35
SEN,2009,0.53,0.68,0.49,0.47,0.57,0.35
SEN,2010,0.52,0.69,0.49,0.47,0.57,0.35
SEN,2011,0.52,0.69,0.49,0.47,0.57,0.35
SEN,2012,0.52,0.7,0.49,0.47,0.61,0.36
SEN,2013,0.6,0.74,0.49,0.51,0.66,0.52
SEN,2014,0.61,0.73,0.49,0.51,0.66,0.52
SEN,2015,0.56,0.73,0.49,0.51,0.66,0.43
SEN,2016,0.55,0.73,0.49,0.51,0.66,0.43
SEN,2017,0.52,0.72,0.49,0.52,0.67,0.39
SEN,2018,0.52,0.7,0.49,0.52,0.67,0.39
SEN,2019,0.54,0.7,0.49,0.5,0.7,0.45
SEN,2020,0.53,0.7,0.49,0.5,0.61,0.47
SEN,2021,0.54,0.68,0.48,0.51,0.58,0.47
SEN,2022,0.53,0.67,0.5,0.51,0.58,0.47
UKR,2008,0.34,0.69,0.71,0.71,0.32,0.25
UKR,2009,0.3,0.69,0.71,0.71,0.32,0.23
UKR,2010,0.29,0.64,0.71,0.68,0.32,0.25
UKR,2011,0.29,0.64,0.71,0.68,0.32,0.25
UKR,2012,0.29,0.63,0.71,0.7,0.32,0.25
UKR,2013,0.29,0.62,0.73,0.7,0.3,0.28
UKR,2014,0.34,0.6,0.69,0.68,0.48,0.33
UKR,2015,0.37,0.6,0.67,0.68,0.57,0.33
UKR,2016,0.39,0.62,0.65,0.68,0.57,0.35
UKR,2017,0.39,0.63,0.62,0.67,0.57,0.36
UKR,2018,0.4,0.6,0.61,0.58,0.55,0.36
UKR,2019,0.45,0.61,0.64,0.56,0.5,0.38
UKR,2020,0.43,0.61,0.65,0.58,0.46,0.35
UKR,2021,0.43,0.61,0.7,0.58,0.51,0.35
UKR,2022,0.47,0.54,0.65,0.59,0.5,0.42
USA,2008,0.79,0.89,0.63,0.54,0.85,0.69
USA,2009,0.8,0.89,0.63,0.54,0.85,0.69
USA,2010,0.8,0.89,0.62,0.56,0.85,0.69
USA,2011,0.8,0.88,0.62,0.56,0.85,0.69
USA,2012,0.79,0.89,0.62,0.57,0.85,0.71
USA,2013,0.82,0.89,0.62,0.57,0.86,0.71
USA,2014,0.82,0.89,0.62,0.57,0.86,0.71
USA,2015,0.82,0.88,0.62,0.58,0.86,0.71
USA,2016,0.79,0.86,0.6,0.55,0.86,0.71
USA,2017,0.68,0.8,0.61,0.55,0.86,0.71
USA,2018,0.69,0.84,0.6,0.54,0.86,0.71
USA,2019,0.7,0.8,0.59,0.53,0.86,0.71
USA,2020,0.71,0.76,0.58,0.49,0.77,0.71
USA,2021,0.71,0.8,0.58,0.52,0.77,0.71
USA,2022,0.74,0.82,0.61,0.51,0.77,0.71
VEN,2008,0.19,0.51,0.33,0.57,0.11,0.14
VEN,2009,0.16,0.51,0.33,0.57,0.11,0.14
VEN,2010,0.06,0.53,0.33,0.56,0.11,0.12
VEN,2011,0.06,0.53,0.33,0.53,0.11,0.1
VEN,2012,0.06,0.51,0.33,0.5,0.11,0.1
VEN,2013,0.06,0.48,0.38,0.42,0.11,0.05
VEN,2014,0.08,0.45,0.37,0.34,0.11,0.05
VEN,2015,0.08,0.43,0.37,0.29,0.11,0.02
VEN,2016,0.06,0.43,0.37,0.25,0.11,0.0
VEN,2017,0.06,0.4,0.27,0.21,0.11,0.0
VEN,2018,0.06,0.39,0.23,0.18,0.01,0.0
VEN,2019,0.06,0.37,0.18,0.18,0.01,0.0
VEN,2020,0.0,0.37,0.13,0.18,0.12,0.0
VEN,2021,0.0,0.37,0.17,0.18,0.07,0.0
VEN,2022,0.0,0.37,0.13,0.05,0.07,0.0
